participation_id,user_id,team,medal,abs_score,full_name,task_name,contest_id,last_submission_ts,consecutive_submission_count,time_spent_for_the_task
22,12,,,,,line,1,2019-08-08 10:33:40.760293,3,00:38:29.068047
23,13,RUS,1,435.35,Vladimir Romanov,rect,2,2019-08-06 05:15:34.013155,1,00:15:34.013155
23,13,RUS,1,435.35,Vladimir Romanov,shoes,2,2019-08-06 05:19:20.62495,1,00:03:46.611795
23,13,RUS,1,435.35,Vladimir Romanov,rect,2,2019-08-06 07:09:34.092162,2,01:50:13.467212
23,13,RUS,1,435.35,Vladimir Romanov,split,2,2019-08-06 07:32:00.111185,2,00:22:26.019023
23,13,RUS,1,435.35,Vladimir Romanov,rect,2,2019-08-06 07:49:28.67536,2,00:17:28.564175
23,13,RUS,1,435.35,Vladimir Romanov,split,2,2019-08-06 08:16:46.164487,3,00:27:17.489127
23,13,RUS,1,435.35,Vladimir Romanov,rect,2,2019-08-06 08:53:52.105186,5,00:37:05.940699
23,13,RUS,1,435.35,Vladimir Romanov,split,2,2019-08-06 09:46:09.787409,3,00:52:17.682223
24,13,RUS,1,435.35,Vladimir Romanov,line,1,2019-08-08 06:48:57.631297,6,01:28:57.631297
24,13,RUS,1,435.35,Vladimir Romanov,vision,1,2019-08-08 07:58:05.549842,7,01:09:07.918545
24,13,RUS,1,435.35,Vladimir Romanov,walk,1,2019-08-08 08:59:23.506433,1,01:01:17.956591
24,13,RUS,1,435.35,Vladimir Romanov,line,1,2019-08-08 09:35:27.430631,6,00:36:03.924198
24,13,RUS,1,435.35,Vladimir Romanov,walk,1,2019-08-08 09:52:08.687344,2,00:16:41.256713
24,13,RUS,1,435.35,Vladimir Romanov,line,1,2019-08-08 09:59:08.593559,1,00:06:59.906215
24,13,RUS,1,435.35,Vladimir Romanov,walk,1,2019-08-08 10:05:53.395599,1,00:06:44.80204
24,13,RUS,1,435.35,Vladimir Romanov,line,1,2019-08-08 10:16:11.570514,3,00:10:18.174915
24,13,RUS,1,435.35,Vladimir Romanov,vision,1,2019-08-08 10:31:36.888814,2,00:15:25.3183
24,13,RUS,1,435.35,Vladimir Romanov,line,1,2019-08-08 10:32:54.884476,2,00:01:17.995662
25,14,RUS,1,511.22,Ildar Gainullin,shoes,2,2019-08-06 06:27:09.371349,8,01:27:09.371349
25,14,RUS,1,511.22,Ildar Gainullin,rect,2,2019-08-06 06:45:23.387075,4,00:18:14.015726
25,14,RUS,1,511.22,Ildar Gainullin,split,2,2019-08-06 09:34:40.796616,42,02:49:17.409541
28,14,RUS,1,511.22,Ildar Gainullin,vision,1,2019-08-08 06:19:15.637172,8,00:59:15.637172
28,14,RUS,1,511.22,Ildar Gainullin,line,1,2019-08-08 07:41:18.883215,16,01:22:03.246043
28,14,RUS,1,511.22,Ildar Gainullin,walk,1,2019-08-08 09:06:36.94968,4,01:25:18.066465
28,14,RUS,1,511.22,Ildar Gainullin,line,1,2019-08-08 10:08:24.71531,17,01:01:47.76563
26,15,RUS,1,414.75,Aleksandr Morozov,shoes,2,2019-08-06 05:21:14.867969,1,00:21:14.867969
26,15,RUS,1,414.75,Aleksandr Morozov,split,2,2019-08-06 06:03:18.855022,6,00:42:03.987053
26,15,RUS,1,414.75,Aleksandr Morozov,shoes,2,2019-08-06 06:04:19.815038,1,00:01:00.960016
26,15,RUS,1,414.75,Aleksandr Morozov,split,2,2019-08-06 06:06:15.377337,1,00:01:55.562299
26,15,RUS,1,414.75,Aleksandr Morozov,shoes,2,2019-08-06 06:08:26.486661,1,00:02:11.109324
26,15,RUS,1,414.75,Aleksandr Morozov,split,2,2019-08-06 06:32:12.343749,4,00:23:45.857088
26,15,RUS,1,414.75,Aleksandr Morozov,rect,2,2019-08-06 08:45:52.053937,37,02:13:39.710188
26,15,RUS,1,414.75,Aleksandr Morozov,split,2,2019-08-06 09:58:05.333375,17,01:12:13.279438
29,15,RUS,1,414.75,Aleksandr Morozov,vision,1,2019-08-08 07:02:43.076524,6,01:42:43.076524
29,15,RUS,1,414.75,Aleksandr Morozov,line,1,2019-08-08 08:45:54.038304,4,01:43:10.96178
29,15,RUS,1,414.75,Aleksandr Morozov,walk,1,2019-08-08 09:36:12.296214,2,00:50:18.25791
